sample_id,pose_detected,movement_score,lstm_behavior,behavior_confidence,Inactive_probability,Low_Movement_probability,Normal_Movement_probability,Restless_Movement_probability,Sudden_Movement_probability
2860,1,0.016542504,Inactive,0.728812993,0.728812993,0.254211992,0.016656,0.000172,0.000146
2861,1,0.013735291,Inactive,0.716718018,0.716718018,0.265812993,0.017126,0.000189,0.000154
2862,1,0.038317707,Inactive,0.641691029,0.641691029,0.337720007,0.020067001,0.000293,0.000228
2863,1,0.036699228,Inactive,0.744305015,0.744305015,0.237538993,0.017779,0.000211,0.000166
2864,1,0.031748409,Inactive,0.740094006,0.740094006,0.239893004,0.019572999,0.000246,0.000193
2865,1,0.037080225,Inactive,0.708490014,0.708490014,0.268606007,0.022361999,0.000304,0.000239
2866,1,0.034598867,Inactive,0.722787023,0.722787023,0.254462004,0.022213999,0.0003,0.000236
2867,1,0.051113399,Inactive,0.830305994,0.830305994,0.152812004,0.016586,0.000166,0.000131
2868,1,0.048803635,Inactive,0.863106012,0.863106012,0.122019999,0.014665,0.000115,9.40E-05
2869,1,0.022452819,Inactive,0.873378992,0.873378992,0.112733997,0.013692,0.000108,8.80E-05
2870,1,0.020320239,Inactive,0.870423019,0.870423019,0.115483999,0.013881,0.000117,9.50E-05
2871,1,0.029987519,Inactive,0.816421986,0.816421986,0.163631007,0.019502999,0.000244,0.0002
2872,1,0.01592846,Inactive,0.673520982,0.673520982,0.298474997,0.027158,0.000476,0.00037
2873,1,0.049996812,Inactive,0.872211993,0.872211993,0.114977002,0.012615,0.000106,9.00E-05
2874,1,0.011517648,Inactive,0.87737602,0.87737602,0.110229,0.012206,0.000102,8.80E-05
2875,1,0.028478942,Inactive,0.887876987,0.887876987,0.099904001,0.012029,0.000101,8.80E-05
2876,1,0.007708016,Inactive,0.893712997,0.893712997,0.094301,0.011807,9.50E-05,8.50E-05
2877,1,0.038972021,Inactive,0.894456029,0.894456029,0.093359001,0.012003,9.50E-05,8.70E-05
2878,1,0.035070669,Inactive,0.89426899,0.89426899,0.093433999,0.012117,9.40E-05,8.60E-05
