sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,confidence,bbox_width,bbox_height,bbox_area
9099,empty_seat,0,1,0,0.6937,370.02,311.25,115167.89
9100,empty_seat,0,1,0,0.7156,368.83,313.24,115531.83
9101,empty_seat,0,1,0,0.7513,352.4,309.02,108898.92
9102,empty_seat,0,1,0,0.7172,382.32,311.45,119075.02
9103,empty_seat,0,1,0,0.7264,361.6,312.55,113020.03
9104,empty_seat,0,1,0,0.7652,370.68,312.9,115986.75
9105,empty_seat,0,1,0,0.7388,362.55,314.53,114032.01
9106,empty_seat,0,1,0,0.7527,364.65,314.1,114537.99
9107,empty_seat,0,1,0,0.7205,372.28,312.54,116350.98
9108,empty_seat,0,1,0,0.7345,362.53,313.95,113816.29
9109,empty_seat,0,1,0,0.7372,378.32,314.72,119063.75
9110,empty_seat,0,1,0,0.7036,383.95,313.84,120500.17
9111,empty_seat,0,1,0,0.7272,372.44,312.9,116536.93
9112,empty_seat,0,1,0,0.7281,370.62,308.49,114334.3
9113,empty_seat,0,1,0,0.7382,378.83,316.62,119946.07
9114,empty_seat,0,1,0,0.7106,366.92,310.29,113850.81
9115,empty_seat,0,1,0,0.7001,386.03,311.93,120413.77
9116,empty_seat,0,1,0,0.7095,363.99,310.86,113150.02
9117,empty_seat,0,1,0,0.7305,372.47,312.01,116216.3
9118,empty_seat,0,1,0,0.7556,355.07,307.65,109235.92
9119,empty_seat,0,1,0,0.7008,371.59,313.62,116538.41
9120,empty_seat,0,1,0,0.7523,369.54,314.98,116397.53
9121,empty_seat,0,1,0,0.6916,377.2,309.95,116912.16
9122,empty_seat,0,1,0,0.7504,378.45,316.7,119855.21
9123,empty_seat,0,1,0,0.7096,362.99,310.24,112613.89
9124,empty_seat,0,1,0,0.7615,360.73,315.56,113831.31
9125,empty_seat,0,1,0,0.7431,360.96,312.47,112788.56
9126,empty_seat,0,1,0,0.6836,375.34,313.5,117668.25
9127,empty_seat,0,1,0,0.7536,366.23,312.81,114557.83
9128,empty_seat,0,1,0,0.741,375.84,314.21,118090.02
9129,empty_seat,0,1,0,0.7271,368.74,312.04,115063.69
9130,empty_seat,0,1,0,0.7234,368.84,310.88,114665.62
9131,empty_seat,0,1,0,0.7468,374.08,316.87,118533.29
9132,empty_seat,0,1,0,0.7054,369.83,309.9,114611.27
9133,empty_seat,0,1,0,0.7509,358.2,313.17,112178.19
9134,empty_seat,0,1,0,0.7748,363.7,309.34,112506.95
9135,empty_seat,0,1,0,0.7301,367.98,313.14,115229.5
9136,empty_seat,0,1,0,0.7539,361.73,313.11,113260.63
9137,empty_seat,0,1,0,0.678,372.47,310.76,115748.73
9138,empty_seat,0,1,0,0.7511,356.19,313.22,111567
9139,empty_seat,0,1,0,0.7301,371.39,311.58,115718.35
9140,empty_seat,0,1,0,0.7174,369.37,312.46,115412.88
9141,empty_seat,0,1,0,0.7025,362.95,309.7,112405.77
9142,empty_seat,0,1,0,0.7287,368.57,309.31,114004.55
9143,empty_seat,0,1,0,0.7082,365.67,312.11,114129.75
9144,empty_seat,0,1,0,0.7285,368.56,312.08,115020.05
9145,empty_seat,0,1,0,0.6821,369.15,314.86,116231.89
9146,empty_seat,0,1,0,0.6831,377.47,310.03,117026.76
9147,empty_seat,0,1,0,0.727,367.24,304.32,111758.09
9148,empty_seat,0,1,0,0.7392,362.37,315.31,114258.41
9149,empty_seat,0,1,0,0.7328,370.04,313.52,116015.29
9150,empty_seat,0,1,0,0.726,363.19,312.59,113527.02
9151,empty_seat,0,1,0,0.7358,373.93,310.79,116212.25
9152,empty_seat,0,1,0,0.708,367.54,310.45,114103
9153,empty_seat,0,1,0,0.6655,367.06,310.39,113934.02
9154,empty_seat,0,1,0,0.652,371.89,305.23,113510.74
9155,empty_seat,0,1,0,0.7328,372.03,317.27,118031.85
9156,empty_seat,0,1,0,0.7215,373.18,310.51,115876.52
9157,empty_seat,0,1,0,0.733,364.08,313.17,114019.2
9158,empty_seat,0,1,0,0.7229,374.13,310.95,116336.48
9159,empty_seat,0,1,0,0.7022,371.21,311.04,115459.82
9160,empty_seat,0,1,0,0.7171,376.06,311.95,117309.69
9161,empty_seat,0,1,0,0.7189,382.02,316.31,120834.64
9162,empty_seat,0,1,0,0.7355,361.02,312.79,112924.04
9163,empty_seat,0,1,0,0.7072,368.69,313.58,115615.46
